Filtered_stateEstimate.x_y	Filtered_stateEstimate.y_y	Filtered_stateEstimate.z_y
2.145974	2.008345	0.506187
2.145279	2.007813	0.506388
2.144509	2.006440	0.506436
2.141799	2.003273	0.506062
2.138594	1.999306	0.505693
2.133455	1.993700	0.505128
2.129696	1.989994	0.504492
2.128346	1.987212	0.503797
2.127031	1.983433	0.502664
2.126840	1.979591	0.501451
2.123218	1.975756	0.500137
2.121283	1.974868	0.498977
2.118946	1.973325	0.497933
2.116529	1.972331	0.497200
2.114946	1.970739	0.496174
2.111612	1.968130	0.494870
2.108258	1.966257	0.493619
2.111185	1.965057	0.492590
2.112557	1.965071	0.491989
2.114732	1.964534	0.490973
2.112248	1.962987	0.489756
2.109654	1.962773	0.488935
2.104857	1.960150	0.488425
2.100430	1.956716	0.488085
2.097175	1.954531	0.488100
2.093348	1.951448	0.488501
2.088764	1.950475	0.488989
2.085353	1.948408	0.489211
2.083488	1.946437	0.489281
2.081231	1.944067	0.489248
2.076336	1.943644	0.489350
2.073509	1.943389	0.489287
2.063751	1.938851	0.489511
2.055783	1.933306	0.489895
2.050270	1.929381	0.490337
2.045349	1.927987	0.490925
2.041709	1.925924	0.491996
2.038530	1.924968	0.493789
2.032839	1.921184	0.495375
2.028687	1.918166	0.497243
2.028071	1.917270	0.499052
2.027530	1.916754	0.500807
2.030545	1.918064	0.502525
2.033318	1.920795	0.504393
2.037056	1.922834	0.505728
2.041468	1.926561	0.507079
2.047586	1.929054	0.509148
2.056696	1.929820	0.510943
2.065119	1.931760	0.512350
2.073022	1.935254	0.513684
2.080680	1.939172	0.515190
2.086925	1.942724	0.516468
2.094102	1.947011	0.517904
2.099450	1.953683	0.519128
2.102529	1.961224	0.520188
2.107444	1.968424	0.521086
2.111121	1.976951	0.521828
2.115231	1.985505	0.522654
2.120170	1.995453	0.523399
2.122801	2.003913	0.524026
2.124755	2.011469	0.523808
2.123796	2.023970	0.523366
2.122393	2.034076	0.522424
2.120611	2.044247	0.521580
2.118086	2.053286	0.520338
2.114477	2.063457	0.518888
2.109052	2.070567	0.517548
2.101072	2.076540	0.516147
2.093115	2.082402	0.514097
2.084022	2.089355	0.512421
2.073451	2.095626	0.510655
2.065239	2.105224	0.508774
2.057084	2.115715	0.507361
2.049071	2.125838	0.506129
2.042064	2.138246	0.504979
2.037622	2.153558	0.503976
2.035108	2.168808	0.502808
2.031559	2.184248	0.501645
2.028945	2.201767	0.500360
2.028337	2.219392	0.498935
2.028417	2.238124	0.497330
2.028958	2.257139	0.495602
2.028266	2.272996	0.494190
2.028885	2.289703	0.493004
2.028472	2.305855	0.492120
2.028640	2.322853	0.491173
2.026897	2.338123	0.490583
2.026249	2.351447	0.490113
2.024082	2.360527	0.489650
2.014478	2.365110	0.489304
2.009375	2.368871	0.488744
2.007884	2.379673	0.487912
2.007194	2.388838	0.487088
2.007770	2.396812	0.486477
2.006360	2.400948	0.486208
2.006711	2.404381	0.485840
2.009171	2.407445	0.485496
2.012995	2.409361	0.484909
2.019447	2.411289	0.484505
2.026655	2.410913	0.484428
2.033220	2.410172	0.484379
2.040028	2.411058	0.484543
2.047466	2.411734	0.485086
2.054943	2.413734	0.486001
2.069507	2.420238	0.487060
2.079733	2.424810	0.488696
2.089033	2.430196	0.490396
2.097200	2.433602	0.491540
2.103370	2.437106	0.492738
2.105045	2.438361	0.494519
2.105191	2.439953	0.495960
2.113123	2.437556	0.497672
2.116812	2.437340	0.499078
2.116414	2.437143	0.500329
2.114495	2.437388	0.501453
2.109931	2.437092	0.502507
2.103919	2.438457	0.502939
2.095553	2.438577	0.502416
2.088004	2.438644	0.501223
2.079655	2.438448	0.500058
2.070973	2.436914	0.499053
2.059625	2.434207	0.498637
2.048506	2.432063	0.498557
2.036275	2.429560	0.498356
2.025956	2.426043	0.498338
2.017548	2.423376	0.498742
2.009005	2.421844	0.499318
2.002688	2.419626	0.500032
1.999420	2.414970	0.501319
1.997444	2.411772	0.502652
1.983401	2.409709	0.504128
1.974367	2.407779	0.505682
1.970072	2.403615	0.507233
1.968174	2.401764	0.508520
1.969654	2.400701	0.509977
1.971794	2.401196	0.511075
1.976889	2.403099	0.511669
1.983557	2.405094	0.511773
1.991870	2.407767	0.511767
2.001853	2.411817	0.511317
2.012631	2.416626	0.510885
2.024284	2.420672	0.509782
2.037709	2.424743	0.509053
2.050835	2.429651	0.508756
2.063630	2.436606	0.508861
2.075799	2.442973	0.509446
2.089204	2.448462	0.510133
2.100663	2.454967	0.511112
2.110870	2.461377	0.512016
2.118265	2.467824	0.512946
2.122174	2.474608	0.513810
2.125696	2.479204	0.514841
2.126992	2.484902	0.515697
2.127653	2.491847	0.516111
2.129236	2.498575	0.516031
2.129456	2.503410	0.516084
2.130828	2.506932	0.516144
2.128039	2.509513	0.516015
2.123542	2.508611	0.515918
2.119497	2.509817	0.515742
2.116834	2.510420	0.515383
2.114739	2.510460	0.515135
2.112791	2.509348	0.514936
2.111351	2.509560	0.514492
2.110158	2.512498	0.514027
2.108872	2.515181	0.513252
2.107833	2.513726	0.512508
2.105988	2.512866	0.512181
2.105982	2.514330	0.511765
2.111082	2.518764	0.510700
2.115816	2.522656	0.509684
2.116461	2.522927	0.508570
2.120650	2.524837	0.507590
2.125626	2.526300	0.506127
2.129220	2.527563	0.504441
2.137375	2.529008	0.502731
2.143362	2.528571	0.500685
2.147417	2.528449	0.498665
2.151028	2.528503	0.496488
2.155127	2.531728	0.494188
2.160475	2.532991	0.492224
2.165360	2.534359	0.490519
2.171090	2.534795	0.489470
2.177323	2.537068	0.488540
2.182616	2.537964	0.487524
2.186646	2.538528	0.486977
2.189362	2.539898	0.486470
2.193041	2.542535	0.485988
2.195351	2.542056	0.485898
2.202059	2.543896	0.485746
2.207496	2.544213	0.485988
2.210585	2.543933	0.486307
2.210776	2.548790	0.486607
2.209582	2.551378	0.486919
2.209727	2.551732	0.487478
2.209898	2.552901	0.488504
2.207553	2.553705	0.489558
2.204483	2.552406	0.491093
2.200453	2.548026	0.492439
2.194269	2.544664	0.493739
2.188473	2.541530	0.494652
2.180484	2.537285	0.495344
2.171127	2.532329	0.496087
2.162383	2.526804	0.497042
2.153164	2.520831	0.497692
2.143978	2.515519	0.498564
2.135351	2.512075	0.498996
2.127772	2.508515	0.499812
2.122233	2.503088	0.501213
2.117886	2.499486	0.502537
2.111985	2.496283	0.504364
2.112744	2.492752	0.506140
2.112280	2.488945	0.507885
2.111129	2.486853	0.509417
2.109339	2.482912	0.510537
2.108300	2.478720	0.511750
2.105569	2.476201	0.512131
2.106495	2.474302	0.512618
2.108871	2.472034	0.512964
2.108840	2.468965	0.513039
2.107645	2.465667	0.512711
2.104924	2.462149	0.512318
2.101678	2.458227	0.511851
2.099076	2.453380	0.511269
2.095786	2.447950	0.510503
2.093290	2.442134	0.509365
2.090588	2.435961	0.508576
2.087981	2.429687	0.507967
2.087926	2.423657	0.507154
2.088941	2.418426	0.506125
2.089566	2.412991	0.504833
2.089088	2.406043	0.503453
2.089441	2.401267	0.502176
2.094971	2.399081	0.501391
2.099837	2.397298	0.500881
2.103005	2.394944	0.500955
2.103411	2.392314	0.501237
2.104401	2.388181	0.501728
2.104282	2.383265	0.501980
2.101864	2.379577	0.501931
2.099994	2.378419	0.501776
2.097199	2.377422	0.501645
2.093557	2.375166	0.501330
2.090260	2.373890	0.501002
2.085776	2.373072	0.500539
2.081099	2.371428	0.500318
2.075867	2.370967	0.499896
2.070065	2.371828	0.499427
2.064302	2.372488	0.499236
2.060934	2.375222	0.499021
2.058377	2.380738	0.499076
2.054072	2.385321	0.499185
2.051455	2.391429	0.499521
2.046829	2.395112	0.499642
2.045976	2.398198	0.499728
2.043716	2.402056	0.499575
2.041493	2.403720	0.498977
2.040964	2.405520	0.498220
2.042113	2.405715	0.497420
2.045319	2.405164	0.496555
2.046923	2.403605	0.495441
